id,summary
275,I loved him but I could see where some people might not. He did a wonderful job getting into the text and explaining the details that might have been missed. I don't think he was a hard grader he just knows what he wants. He was REALLY bad about the papers in that he waited to the LAST min to give them out. He is also extremely friendly and helpful
278,"Prof. Martin teaches like a high school teacher. He focuses more on following unnecessary rules than teaching. Rules include non to few restroom breaks per class, marking students tardy for showing up even a minute late, grading on absences, and leaving early regardless of the reason. While his lectures are okay, his attitude makes him intolerable."
280,Very intimidating.  Demands strict adherence to NASW code of ethics but justifies violation in lecture and advising sessions.  Yells in class at the top of his lungs.  Teaches from the book on occassion otherwise rambles on.  Deviates from a large syllabus. Made offensive personal remarks in class.
282,"Your garunteed to walk out of this class with at least a B  These are some of his first words to you when you come to class.  He is rather entertaining, not a bad guy outside of class, but not really a great teacher.  the class is wotrh a shot, and really not as bad as other have made it out to be"
285,"Rogness was an awesome prof. He is always willing to help students. If you study extensively for the midterm and final (his only tests), you will be fine. He is picky with grading (I got marked for not stapling my paper!). I feel like he did not explain SAS as good as he could but overall, great prof. I recommend."
287,"This was the most pointless, boring class I have ever taken. The professor is very unclear regarding what is expected of you and his grading is all over the place. He is a nice guy and seems to care about his students, but his class was a waste of time and a lot of work. I wouldn't recommend him nor would I recommend LIB 100 in general."
288,"Best class I have ever taken in USC. He was so enthusiastic about what he teaches, always willing to help his students or to discuss anything with his students. Exams are writing essays based on readings and lectures. there's no right/wrong answer but you need to develop your arguments logically. Pay attention to his lectures and do the readings!"
290,"Easily the best professor that I have ever had. She is clear, knowledgeable, and always interested in what you have to say. She helps anyone who needs it, even if it has nothing to do with the class and will help you with every step to reach your goals. Inspirational, supportive, and requires more than 350 characters to describe."
292,Worst teacher I've ever had in my entire educational career.  Complained to the dean about him. The dean said they get complaints all the time but there is nothing they can do about it.  Attending lecture is pointless as he is incomprehensible some days.  Better off staying home and memorizing the powerpoints he post since he just reads from them.
294,"Professor Schneider is nice, but I did not learn anything new from taking her course. She does talk about herself quite often, which cuts into class time. The class was easy, but I felt like I wasted a lot of money. I would recommend taking another professor, simply bc I didn't gain anything from her."
295,"Care about your GPA? Don't take professor Haidar's class. He grades awfully, it is his way or the highway. There were many occasions where I or my peers would get a correct answer and show work, but he didn't like it, so he marked it wrong. He knows the material, just doesn't know how to teach or communicate concepts to the students."
296,Professor Wells is average. The classes are all lectures and the grades come from the work done outside of class. Homework is about 5-10 hours a week. He mixes up his vocabulary sometimes which may confuse you. Each portfolio meeting determines your grade but the final meeting grade on that is all that matters. Focus on the portfolio.
298,"She's a very nice lady, but the class is terribly boring. Read the books and you'll be fine for the tests. Uses power points a lot, and her lectures are usually very boring. Videos are usually entertaining because of how ridiculous they are."
300,Prof Yu is so sweet & likes to connect with her students. She likes for her students to participate & share their experiences relating to the class materials. The textbook homework is easy. A few reading responses & take home exercises. she is very clear ab what is on exams & both were taken online. such a kind woman who really loves her job
302,This man should not be allowed to teach.  Way too critical and aggressive.
303,"Great prof, very caring and nice as a person but had some weak points in her teaching skills. Was always upbeat and lectures were never boring. She is excellent in explaining things but goes through information very fast so always ask for another example or for her to slow down and she will."
