id,summary
375,"She is not the easiest grader and does appear to favor some students over another.  However, you can revise your papers and they aren't long papers, so its easy to revise till you get an A.  If you don't mind revising, then getting a good grade isn't that hard.  Otherwise, find a more flexible, fair-minded teacher for a better grade."
379,"Madame Kugler is one of the nicest professors I have ever had. She makes an effort to remember everyone's name and greet everyone at the beginning of class, and she really cares about each student's success. I will warn you that you have to be present and participate to pass, but it is not a hard class, even if you're bad at languages like I am."
381,"Literally the worst professor Ive had in my life. Extremely vague grading system where even if you do everything asked you STILL get bad grades for not doing it precisely as she wanted, barely any assignments so that if you do bad on a single one it brings your grade down a lot, and completely inflexible. No extensions allowed. Avoid at all costs."
387,"One of the best professors I've had in my college career. Really cares about the students, and their success. Tells fun and interesting stories about her experiences in Russia. I feel like I learned a lot this semester and didn't need to kill myself doing it."
388,Pemberton was one of my favorite professors at UD. She is so helpful and sweet and always willing to lend a helping hand. She's really patient and her class was pretty easy. Basically if she likes you you'll get a good grade!
389,"Prof. Blacker is super laid back in class and he doesn't really take attendance. Going definitely helps because he'll mention specific terms that are on the tests and taking/adding to your own notes in class is helpful. Other than the 3 exams, there's a short sitting ""presentation"" but that's the extent of the participation and grading."
391,"Professor Poole is absolutely amazing. Although she is a very difficult professor, she is always accessible to her students. If you are having trouble in class, go to office hours, as she is incredibly helpful and kind."
393,"Prof. Celli is one of the nicest professors I have had. She truly wants us to learn French and that comes through in her classes. She really encourages participation, which seems scary at first, but she appreciates the effort even if you make mistakes.  If you do the homework exercises, the tests are easy. Definitely would recommend!"
395,"Dee is the most incredible professor at Rhodes. If you have the chance to take her class, you will learn SO much. Her lectures feel more like a conversation - you can ask questions at any point, & she never fails to make you laugh! She is very accessible outside of class and gives great advice, not only for her classes but also for life. "
398,I liked his class. Sure he can be a little boring at times but that doesnt mean the stuff he chooses to present isnt interesting. I mean you cant teach at Rhodes that long and not be able to just rock the material
