id,summary
183,Such a fun lady! Make sure to participate and stay off your phone or you'll be in for a long semester..I'd highly recommend getting on her good side. The tests weren't bad if you studied. The semester long project wasn't bad either-I believe the same as the normal MKT 350 class. I would highly recommend Maria for this class!
184,"Take this review to heart. He is horrible in the sense that he will not teach you about management at all. He gives you every answer for the test so I guess its fairly easy, however, he is a wack-job. Very tough grader on the paper. STAY AWAY FROM HIM AS A PROF. He only teaches what he believes and nothing about management at all. Again, STAY. AWAY"
185,"Loved this prof! Although he never used blackboard and you never knew your grade, as long as you came to class and shared work with your table group you were passing! He definitely knows what he is talking about and has a lot of experience. The lessons we did were fun and useful. I'd take prof Golden again!"
186,"Professor Matchett is an amazing professor. He gives clear explanations and is always willing to help you understand the material. The tests were very tough, but as long as you study and do the weekly readings you'll be fine. Be prepared to work hard for the grade you want. Would definitely recommend taking his class if you can."
187,"I took the honors section and it was a ton of work, but I think that should be expected with an honors class. Super knowledgable lady and she's always there to answer any questions. Exams are tough, but again, in an honors course you should expect that. All in all she was super cool and I really liked her class!"
188,"He keeps class interesting by doing some little fun activities. However, taking notes is hard because he doesn't give a power point,  just and outline. A suggestion I have is to write down every example he gives and evaluate them with the outline."
189,"Actually miserable.  Guy rambles on about god knows what (no religion pun intended), and then expects you to write a paper or take short answer tests and elaborate on extremely vague concepts. Just about everyone in the class is clueless about his expectations. If you're looking for an easy elective and figure this is a good choice think again."
193,"A nice guy, but a TERRIBLE professor. Assigns more assignments than I can count, and tests are EXTREMELY long. Grading criteria is hard to get used to and very specific, but not terrible. He expects almost memorization of the chapter, and his workload is unbelievably high. He does not 'lecture' on material, only answers questions. Do not take him. "
196,"I really enjoyed having Davis! I will admit, sometimes the concepts in his lectures don't immediately click, but he is the most helpful if you go to office hours. I didn't understand how some concepts connected and he spent a hour with me visualizing and reviewing everything before the exam. His exams are not difficult-do the exam review materials."
197,"Her lectures are super boring, and will have you writing until the last minute of class.  She didnt post a study guide for the first test so I bombed it, but once she started posting them for the other 2 I got a BA in the class.  She offered a lot of Extra Credit and the in-class quizzes were easy. I recommend her but bring a pillow to class."
201,"Doc Z. is the best! he is soo funny, he makes boring stuff intersting, he will totally help you out, and his stories are great. You MUST take class with him, hes one of the best profs here!"
202,"Great professor! A bit disorganized, but also willing to go into a direction that the class is interested in going. Provides great exercises for writing and good feedback. Will definitely take more classes with him."
205,"Most laid back prof I have ever had. Tests and quizzes were mainly vocab straight from the book, and if it was anything otherwise, expectations were very clear. The only downside to this class is that there were few chances for points, so doing well on the exams and quizzes was important. Overall is a super cool guy. Even brought his dog in once!"
208,"DG is a great instructor!  He used to be in the Secret Service and it passionate about Criminal Justice and really wants you to understand what he's teaching.  He's funny and tells cool stories about when he was in the Secret Service.  Really fun guy, you should get him if you can!"
210,"LOVED this teacher. He is older so he has stories he likes to tell but he explains the math in such an easy way you don't struggle! NO book needed, it's online. Tests are open book/notes, quizzes can be worked in groups. Easy class but you also learn. I love math now because of this prof!"
211,"DON'T TAKE HIM. In lecture, he just reads the slides word for word. His lectures are so hard to pay attention to because he makes it so boring. When you want to ask him a question he's very rude about it and makes you feel dumb. He expects all of his students to be geniuses. His tests are also very difficult & have mostly written parts."
215,"SUCH AN EASY CLASS. Lets you grade yourself on the final, and on tests. Super laxed. Definitely not the best at teaching but knows his stuff and is super understanding. Just go to class and you'll get at least a B."
216,"Nice Professor.  He makes history interesting.  Great use of media.  Once questions are available on BB for the midterm and final,it is helpful to prepare ahead of time.  He starts posting the questions 2 or 3 weeks before the exam.  You can then paste your answers at exam time."
218,"I'm a Spanish minor and I found this class very fun.  Her stories are hilarious, and if you take good notes and attend most lectures, you will do well. You will not know your grade, but you can guess based on participation and the exams she gives back graded.  She is willing to help after class as well."
220,"Brian genuinely cares about his students. He pushed us to problem-solve rather than simply ""answering"" our questions, and demonstrated tremendous expertise as an English teacher! He gave excellent feedback after observations; critical, but helpful at the same time because his goal was to make me the best teacher possible. Highly Recommended!"
