id,summary
3,"Pros:clear plans for the whole semester, course plan and grading standards are good, software is good, never late or absent, a knowledgable professor.        Cons:he is always explaining but not teaching, need to go learn in the book by yourself; examples are modification of tests but terrible handwriting so hard to understand, really boring class."
15,"Kubelka might be the worst professor that I have had at sjsu. I have found that watching a 5-10 minute youtube video is often more helpful that his lectures. He teaches straight from powerpoint, occasionally writing some stuff on the board. His tests are nothing like the homework. Tests are proof based and the homework is more calculations based."
18,Terrible teacher. Lectures are slow and repetitive. Course breadth is extremely narrow. He does not speak good English. He cannot see well enough to read read and makes constant typos. Homework assignments are poorly given without full explanation of grading criteria. He gives free grades increases and extra credit for helping him outside of class.
29,"Great Professor! Would take him again. He is super caring and has a loving and warm attitude, which makes class easy to go to. Take him if you can. Class is paper heavy there are no tests. Gives good instruction on papers though."
45,"He is a better professor than others would indicate.  He cares about students and wants to make a positive impact in their lives.  I only have two issues: there is too much homework and studying for a 0-credit class and the concepts may (only sometimes) be a bit simplistic and specific only to certain situations.  Overall, he is a good professor."
47,"My favorite professor I've had so far! He had such enthusiasm and made a lot of things that could have been boring very interesting. He could be a bit confusing at times, but always went back to go over things we weren't clear on. His exams were very fair and easy as long as you study from the problem sets he provided. Awesome guy, learned a lot."
48,"this class isnt hard, it just goes by slowly. Some of the material is kinda interesting but overall its boring. Shes a nice lady but she reads straight from the notes, so if you miss class you wont miss much."
57,"Absolute sweetheart! She really loves/cares about her students, and knows why literature is important.  Two 10 page papers, a midterm, and a final.  Good reading, she connects it with your life and past historical events. GREAT ENGLISH TEACHER, and GREAT PROFESSOR OVERALL.  I LOVE HER!"
58,a great professor who genuinely cares about his students and trusts them. he is a personable guy and respects everyone's opinions. attendance isn't taken but there are quizzes each class. even though I was allowed two skips I didn't take any because I actually wanted to be in class.
73,"Lecture is completely useless, slides make no sense the first time you see them, and it doesn't help that he blazes through them. Labs are idiotic, and don't help you learn anything, and the text sucks. You'll fail a quiz or two but whatever, everyone does. Discussion was surprisingly helpful. Overall though the class was horrible, as was Xiao."
74,"SHe was very nice and very funny.  Class was easy at first, but got really hard really fast.  She was not helpful, was very bad at explaining things and gave really bad examples.  She did not teach us how to do the assignments for the required lab.  Took way too many hours a week and I was barely able to pass the class."
90,"I took two of his classes so far and enjoyed myself during the lectures. He is passionate about in-class interaction and gives good feedback if you ask for it. Writing, reading, and participation matter in his class since homework is based on textbook understanding and exams are based on lectures comprehension. Great instructor of Asian PHIL study!"
92,"His lectures are so frustrating: he just stands at the board and rambles on without actually checking if you understand it or not.  He gives a normal amount of homework which are pretty hard, but the test questions are always easier than the homework.  You have to put in a lot of individual effort in order to do well."
